n_estimators,mse
1,67.55779991656804
2,52.34488094672482
3,41.243062872586385
4,37.40085307569206
5,33.59545991887923
6,31.491666247650354
7,30.537171459636212
8,29.781346543966382
9,27.96443290203594
10,27.09795655242856
11,26.925275050109278
12,26.28807150535501
13,25.868413881391103
14,25.852973673128346
15,25.351530246472418
16,25.038627641648702
17,24.7395474157512
18,24.96252227827758
19,25.024267794020563
20,24.784250556811315
21,24.51086343394017
22,24.451757086938255
23,24.26796345282013
24,24.467615740111707
25,24.424846053725712
26,24.573924626981455
27,24.330328596953223
28,24.162830861980172
29,24.055575357577975
30,24.031533590758983
31,23.881840359617783
32,23.919866840457257
33,23.96240374311817
34,23.91744790919037
35,23.888153940123818
36,23.633915327220453
37,23.560031908504293
38,23.56430006633445
39,23.53176850645423
40,23.428950842754155
41,23.477376825081123
42,23.53261823968122
43,23.57605301557951
44,23.488742285186717
45,23.24950686653186
46,23.27940389702359
47,23.31741758886054
48,23.12202537121661
49,23.100021737791973
50,23.11684308844016
51,23.11153406310753
52,23.091823756441947
53,23.0896425323657
54,22.738415728966437
55,22.756350238860914
56,22.79390531969682
57,22.80971868643395
58,22.789862860198518
59,22.73575674886265
60,22.797870860060055
61,22.840208058427333
62,22.860166056982877
63,22.871538019761026
64,22.899305183253688
65,22.908448859733564
66,22.89409378023498
67,22.90647168546219
68,22.887587838607043
69,22.92065754693874
70,22.89205844837056
71,22.916396389549593
72,22.921336167754674
73,22.918900119002164
74,22.913398735463566
75,22.885076462497842
76,22.876592475456277
77,22.936113697416573
78,22.94767258563623
79,22.87582848270827
80,22.952012525718875
81,22.93578686615452
82,22.904732502841583
83,22.909633529974705
84,22.90421875592662
85,22.937601032944073
86,22.926791165280402
87,22.9757979099408
88,22.990313098016223
89,22.99908984966535
90,22.973294704007486
91,22.952339473065795
92,22.990831961786153
93,22.97911416011583
94,22.953756437716834
95,22.968946434872255
96,22.9088752451416
97,22.94762446114144
98,22.943635455723502
99,22.93024115333145
100,22.92333411336037
101,22.91011630169094
102,22.930670308387015
103,22.92015942569592
104,22.974109859994464
105,22.970073475746222
106,22.961606883435223
107,22.98361490589173
108,22.943474048432474
109,22.93807497752958
110,22.961880648231855
111,22.969151440062774
112,22.956007359587623
113,22.955333384566266
114,22.941471918795244
115,22.945751916974064
116,22.929582915063378
117,22.926547903112883
118,22.912803719620303
119,22.914336706683027
120,22.931669599170828
121,22.944783793471935
122,22.942898695655828
123,22.96954350751924
124,22.949017673801627
125,22.944783744657663
126,22.919091379064
127,22.91579665624112
128,22.91505880071916
129,22.908200308189613
130,22.907247865263287
131,22.904409584544183
132,22.90555946647969
133,22.91254349121449
134,22.919744511086016
135,22.906282872188953
136,22.899375348350382
137,22.878430134520798
138,22.83925332222274
139,22.852400174926615
140,22.855532881054806
141,22.858965071743377
142,22.859842574685867
143,22.851014944610384
144,22.849437587089795
145,22.83185109182578
146,22.83140447251277
147,22.826779426502164
148,22.820852135948822
149,22.820333460037304
150,22.826150348114027
151,22.838405616865273
152,22.833876431304184
153,22.81947670198732
154,22.838059862798957
155,22.841589397309267
156,22.864559859521457
157,22.850771986138817
158,22.840905177857625
159,22.82705261248741
160,22.83756504941673
161,22.82385254998123
162,22.82450877312807
163,22.82292854992088
164,22.819090603723822
165,22.8174578863638
166,22.818470638726076
167,22.817253884803037
168,22.80189182499063
169,22.797435586828055
170,22.804157963942735
171,22.78200589889828
172,22.788564569235437
173,22.761462826358372
174,22.782546188465464
175,22.780651376387976
176,22.778205164949412
177,22.78418204232143
178,22.786883451205206
179,22.788595289434504
180,22.773235847774668
181,22.781192684413654
182,22.781975461354584
183,22.773013118733594
184,22.766377053755892
185,22.753738943154275
186,22.755684187702624
187,22.7523986734838
188,22.751522499277975
189,22.765015261510985
190,22.769321521380853
191,22.77618740730997
192,22.75964778131315
193,22.757271725897795
194,22.741779404755782
195,22.733906944211256
196,22.72650989749456
197,22.714255383460433
198,22.708369342413018
199,22.70779844916757
200,22.7068585370534
201,22.717509087231292
202,22.714858079008234
203,22.716223865750653
204,22.72544299320007
205,22.715446052615487
206,22.717010866306325
207,22.716792703471512
208,22.706916512142097
209,22.703012953142817
210,22.705070171418704
211,22.706017670799966
212,22.697282572771176
213,22.703556475286923
214,22.70459323237853
215,22.704612161756856
216,22.71114473696663
217,22.70222358001763
218,22.70012465685497
219,22.70675310670269
220,22.70327093989332
221,22.70352887763822
222,22.699857329648715
223,22.695128637155065
224,22.697088750971457
225,22.695617952876024
226,22.69745782930222
227,22.70336207055217
228,22.737471604883407
229,22.731923239468912
230,22.715117498981297
231,22.716686487120384
232,22.714891374365564
233,22.706331442812786
234,22.71018085700591
235,22.708502437374534
236,22.709308190768233
237,22.704858664292306
238,22.70889329678897
239,22.705900404967995
240,22.71368918063227
241,22.720202293869637
242,22.713005373607498
243,22.712473246357106
244,22.700312020387685
245,22.697931718263277
246,22.705066486108812
247,22.707388044779158
248,22.7108944058607
249,22.707953275983673
250,22.71297176751284
251,22.713010978671477
252,22.709435598518883
253,22.7156206566188
254,22.75911854601424
255,22.750606507381107
256,22.7489868076766
257,22.74057380504562
258,22.741523873229013
259,22.743563612516702
260,22.745126401834735
261,22.74239188264914
262,22.739855202599504
263,22.743094547730735
264,22.74724148723195
265,22.74447069771462
266,22.746633825237073
267,22.742857051568944
268,22.750995268514586
269,22.746453668351432
270,22.743660989603345
271,22.739883066705065
272,22.739625162848704
273,22.74418594158763
274,22.765852015076362
275,22.77482124343835
276,22.79756392397903
277,22.787449692954965
278,22.793532274240977
279,22.779357978081663
280,22.781929213974625
281,22.791018804584933
282,22.793417461981182
283,22.794164499069797
284,22.811465629071474
285,22.812241031583312
286,22.825423376672205
287,22.8188568201994
288,22.818274567717516
289,22.8112490770236
290,22.8063037216025
291,22.806990171067916
292,22.80875249074255
293,22.809064957580198
294,22.809109989142215
295,22.80675788243408
296,22.804882377443715
297,22.80962880540409
298,22.808364424000906
299,22.807503654062206
300,22.810282357935446
