max_depth,MAE
1,8.082389598499736
2,7.613861969190065
3,7.275634764579678
4,6.83368276633624
5,6.304884592169723
6,6.05339949891218
7,5.943389939641701
8,5.591214597350264
9,5.493559878522852
10,5.400730042973652
11,5.084865438378868
12,4.648823413877713
13,4.592699322245361
14,4.6816600272803885
15,4.560093727088567
16,4.207534804408843
17,4.079718383496458
18,4.007378731573809
19,3.9032615289878128
20,3.9353836960590187
21,3.6027739769924594
22,3.727812257708943
23,3.6688555717753086
24,3.4702107704157226
25,3.577280142499372
26,3.6755561425391
27,3.4983973618649578
28,3.449307238018543
29,3.2497879493441024
30,3.226318286113227
31,3.136424895935016
32,3.1855034267994315
33,2.985054498548408
34,2.75987296072897
35,2.83977293395298
36,2.815436503028911
37,2.6762008911333726
38,2.7977089550533885
39,2.5825192472464367
40,2.7224784932614132
41,2.6559781853304907
42,2.6539297369700394
43,2.629573661230631
44,2.7197300945081784
45,2.692397732598278
46,2.7468425769356917
47,2.750416387352349
48,2.724710595180321
49,2.7387171612850243
50,2.7200598113885435
51,2.7766600184313317
52,2.7406678169095926
53,2.7391191626652858
54,2.7391191626652858
55,2.7391191626652858
56,2.7391191626652858
57,2.7391191626652858
58,2.7391191626652858
59,2.7391191626652858
60,2.7391191626652858
61,2.7391191626652858
62,2.7391191626652858
63,2.7391191626652858
64,2.7391191626652858
65,2.7391191626652858
66,2.7391191626652858
67,2.7391191626652858
68,2.7391191626652858
69,2.7391191626652858
70,2.7391191626652858
71,2.7391191626652858
72,2.7391191626652858
73,2.7391191626652858
74,2.7391191626652858
75,2.7391191626652858
76,2.7391191626652858
77,2.7391191626652858
78,2.7391191626652858
79,2.7391191626652858
80,2.7391191626652858
81,2.7391191626652858
82,2.7391191626652858
83,2.7391191626652858
84,2.7391191626652858
85,2.7391191626652858
86,2.7391191626652858
87,2.7391191626652858
88,2.7391191626652858
89,2.7391191626652858
90,2.7391191626652858
91,2.7391191626652858
92,2.7391191626652858
93,2.7391191626652858
94,2.7391191626652858
95,2.7391191626652858
96,2.7391191626652858
97,2.7391191626652858
98,2.7391191626652858
99,2.7391191626652858
100,2.7391191626652858
101,2.7391191626652858
102,2.7391191626652858
103,2.7391191626652858
104,2.7391191626652858
105,2.7391191626652858
106,2.7391191626652858
107,2.7391191626652858
108,2.7391191626652858
109,2.7391191626652858
110,2.7391191626652858
111,2.7391191626652858
112,2.7391191626652858
113,2.7391191626652858
114,2.7391191626652858
115,2.7391191626652858
116,2.7391191626652858
117,2.7391191626652858
118,2.7391191626652858
119,2.7391191626652858
120,2.7391191626652858
121,2.7391191626652858
122,2.7391191626652858
123,2.7391191626652858
124,2.7391191626652858
125,2.7391191626652858
126,2.7391191626652858
127,2.7391191626652858
128,2.7391191626652858
129,2.7391191626652858
130,2.7391191626652858
131,2.7391191626652858
132,2.7391191626652858
133,2.7391191626652858
134,2.7391191626652858
135,2.7391191626652858
136,2.7391191626652858
137,2.7391191626652858
138,2.7391191626652858
139,2.7391191626652858
140,2.7391191626652858
141,2.7391191626652858
142,2.7391191626652858
143,2.7391191626652858
144,2.7391191626652858
145,2.7391191626652858
146,2.7391191626652858
147,2.7391191626652858
148,2.7391191626652858
149,2.7391191626652858
150,2.7391191626652858
151,2.7391191626652858
152,2.7391191626652858
153,2.7391191626652858
154,2.7391191626652858
155,2.7391191626652858
156,2.7391191626652858
157,2.7391191626652858
158,2.7391191626652858
159,2.7391191626652858
160,2.7391191626652858
161,2.7391191626652858
162,2.7391191626652858
163,2.7391191626652858
164,2.7391191626652858
165,2.7391191626652858
166,2.7391191626652858
167,2.7391191626652858
168,2.7391191626652858
169,2.7391191626652858
170,2.7391191626652858
171,2.7391191626652858
172,2.7391191626652858
173,2.7391191626652858
174,2.7391191626652858
175,2.7391191626652858
176,2.7391191626652858
177,2.7391191626652858
178,2.7391191626652858
179,2.7391191626652858
180,2.7391191626652858
181,2.7391191626652858
182,2.7391191626652858
183,2.7391191626652858
184,2.7391191626652858
185,2.7391191626652858
186,2.7391191626652858
187,2.7391191626652858
188,2.7391191626652858
189,2.7391191626652858
190,2.7391191626652858
191,2.7391191626652858
192,2.7391191626652858
193,2.7391191626652858
194,2.7391191626652858
195,2.7391191626652858
196,2.7391191626652858
197,2.7391191626652858
198,2.7391191626652858
199,2.7391191626652858
200,2.7391191626652858
201,2.7391191626652858
202,2.7391191626652858
203,2.7391191626652858
204,2.7391191626652858
205,2.7391191626652858
206,2.7391191626652858
207,2.7391191626652858
208,2.7391191626652858
209,2.7391191626652858
210,2.7391191626652858
211,2.7391191626652858
212,2.7391191626652858
213,2.7391191626652858
214,2.7391191626652858
215,2.7391191626652858
216,2.7391191626652858
217,2.7391191626652858
218,2.7391191626652858
219,2.7391191626652858
220,2.7391191626652858
221,2.7391191626652858
222,2.7391191626652858
223,2.7391191626652858
224,2.7391191626652858
225,2.7391191626652858
226,2.7391191626652858
227,2.7391191626652858
228,2.7391191626652858
229,2.7391191626652858
230,2.7391191626652858
231,2.7391191626652858
232,2.7391191626652858
233,2.7391191626652858
234,2.7391191626652858
235,2.7391191626652858
236,2.7391191626652858
237,2.7391191626652858
238,2.7391191626652858
239,2.7391191626652858
240,2.7391191626652858
241,2.7391191626652858
242,2.7391191626652858
243,2.7391191626652858
244,2.7391191626652858
245,2.7391191626652858
246,2.7391191626652858
247,2.7391191626652858
248,2.7391191626652858
249,2.7391191626652858
250,2.7391191626652858
251,2.7391191626652858
252,2.7391191626652858
253,2.7391191626652858
254,2.7391191626652858
255,2.7391191626652858
256,2.7391191626652858
257,2.7391191626652858
258,2.7391191626652858
259,2.7391191626652858
260,2.7391191626652858
261,2.7391191626652858
262,2.7391191626652858
263,2.7391191626652858
264,2.7391191626652858
265,2.7391191626652858
266,2.7391191626652858
267,2.7391191626652858
268,2.7391191626652858
269,2.7391191626652858
270,2.7391191626652858
271,2.7391191626652858
272,2.7391191626652858
273,2.7391191626652858
274,2.7391191626652858
275,2.7391191626652858
276,2.7391191626652858
277,2.7391191626652858
278,2.7391191626652858
279,2.7391191626652858
280,2.7391191626652858
281,2.7391191626652858
282,2.7391191626652858
283,2.7391191626652858
284,2.7391191626652858
285,2.7391191626652858
286,2.7391191626652858
287,2.7391191626652858
288,2.7391191626652858
289,2.7391191626652858
290,2.7391191626652858
291,2.7391191626652858
292,2.7391191626652858
293,2.7391191626652858
294,2.7391191626652858
295,2.7391191626652858
296,2.7391191626652858
297,2.7391191626652858
298,2.7391191626652858
299,2.7391191626652858
300,2.7391191626652858
